Category,Dataset,Component,Accuracy,W-Precision,W-Recall,W-F1,Precision,Recall,F1

HyperGCL,MIntRec,A0 Identity,83.82,80.75,83.82,82.02,77.40,79.64,78.24
HyperGCL,MIntRec,A1 Naive Hyperedge,79.33,73.80,79.33,75.80,66.42,70.83,67.81
HyperGCL,MIntRec,A2 Generated Hyperedge,81.35,76.99,81.35,78.59,71.77,74.90,72.63
HyperGCL,MIntRec,A3 Vertex Drop,81.24,77.26,81.24,78.64,71.15,74.69,72.27
HyperGCL,MIntRec,A4 Attribute Mask,79.44,73.75,79.44,75.87,66.44,70.96,67.91
HyperGCL,MIntRec,A5 Subgraph,85.51,84.27,85.51,84.63,83.18,83.37,82.94
HyperGCL,MIntRec,A6 Feature+Edge,79.66,74.21,79.66,76.15,66.72,71.17,68.12
HyperGCL,MIntRec,A6 Adaptive Feature Only,79.66,74.43,79.66,76.19,66.92,71.55,68.37
HyperGCL,MIntRec,A6 Adaptive Edge Only,79.78,74.10,79.78,76.21,66.58,71.55,68.27

HyperGCL,MIntRec2.0,A0 Identity,73.37,72.74,73.37,72.64,72.44,70.08,70.65
HyperGCL,MIntRec2.0,A1 Naive Hyperedge,73.91,72.86,73.91,73.03,72.38,70.46,70.85
HyperGCL,MIntRec2.0,A2 Generated Hyperedge,73.99,73.14,73.99,73.11,72.90,69.95,70.54
HyperGCL,MIntRec2.0,A3 Vertex Drop,74.26,73.26,74.26,73.38,72.98,70.77,71.17
HyperGCL,MIntRec2.0,A4 Attribute Mask,74.26,73.08,74.26,73.35,72.59,70.68,71.02
HyperGCL,MIntRec2.0,A6 Feature+Edge,74.13,73.12,74.13,73.29,72.78,70.76,71.13
HyperGCL,MIntRec2.0,A6 Adaptive Feature Only,74.29,73.15,74.29,73.38,72.44,70.62,70.91
HyperGCL,MIntRec2.0,A6 Adaptive Edge Only,74.07,73.25,74.07,73.23,73.01,70.39,70.91

HC+DG,MIntRec,A0 Identity,81.80,76.97,81.80,78.98,73.22,75.82,74.21
HC+DG,MIntRec,A1 Naive Hyperedge,82.81,79.38,82.81,80.62,78.35,78.62,78.04
HC+DG,MIntRec,A2 Generated Hyperedge,83.13,81.55,83.15,81.45,81.99,79.27,79.11
HC+DG,MIntRec,A3 Vertex Drop,83.03,79.51,83.03,80.77,78.06,78.49,77.74
HC+DG,MIntRec,A4 Attribute Mask,81.69,77.93,81.69,79.11,75.60,75.56,74.76
HC+DG,MIntRec,A6 Feature+Edge,83.60,79.64,83.68,81.37,78.18,80.56,79.20
HC+DG,MIntRec,A6 Adaptive Feature Only,83.93,79.98,83.93,81.68,78.11,80.71,79.19
HC+DG,MIntRec,A6 Adaptive Edge Only,83.71,79.80,83.71,81.49,77.80,80.61,78.99

HC+DG,MIntRec2.0,A0 Identity,72.62,72.18,72.62,70.73,71.36,65.79,65.99
HC+DG,MIntRec2.0,A1 Naive Hyperedge,72.06,71.77,72.06,70.18,70.94,65.27,65.58
HC+DG,MIntRec2.0,A2 Generated Hyperedge,72.19,71.62,72.19,70.44,70.78,65.09,65.75
HC+DG,MIntRec2.0,A4 Attribute Mask,72.76,71.88,72.76,71.12,70.95,66.24,67.00
HC+DG,MIntRec2.0,A6 Feature+Edge,72.57,70.85,72.57,70.26,69.77,66.20,66.13
HC+DG,MIntRec2.0,A6 Adaptive Feature Only,72.57,70.95,72.57,70.30,70.02,66.09,66.06
HC+DG,MIntRec2.0,A6 Adaptive Edge Only,72.70,71.06,72.70,70.54,70.35,66.68,66.92

DG+DG,MIntRec,Feature-Feature,84.49,84.80,84.49,83.88,84.67,83.98,83.25
DG+DG,MIntRec,Feature-Edge,85.28,84.98,85.28,84.91,84.74,85.04,84.53
DG+DG,MIntRec,Edge-Feature,85.17,84.78,85.17,84.63,84.37,84.51,83.98
DG+DG,MIntRec,Edge-Edge,85.17,85.42,85.17,84.72,85.31,85.01,84.27
DG+DG,MIntRec,All Views,85.84,86.41,85.84,85.89,86.25,84.94,85.32

DG+DG,MIntRec2.0,Feature-Feature,73.78,73.13,73.78,72.75,73.88,69.62,70.87
DG+DG,MIntRec2.0,Feature-Edge,73.62,72.89,73.62,72.65,73.71,69.58,70.82
DG+DG,MIntRec2.0,Edge-Feature,73.83,73.24,73.83,72.88,74.07,69.82,71.00
DG+DG,MIntRec2.0,Edge-Edge,73.78,73.18,73.78,72.82,74.15,69.53,70.97
DG+DG,MIntRec2.0,All Views,74.02,73.26,74.02,73.32,72.59,71.21,71.37
