Paper,Venue,MIntRec_ACC,MIntRec_Pre,MIntRec_Rec,MIntRec_F1,MIntRec_WPre,MIntRec_WRec,MIntRec_WF1,MIntRec_TotalPara,MIntRec_FusionPara,MIntRec_FLOPS,MIntRec_InfTime,MIntRec2_ACC,MIntRec2_Pre,MIntRec2_Rec,MIntRec2_F1,MIntRec2_WPre,MIntRec2_WRec,MIntRec2_WF1,MIntRec2_TotalPara,MIntRec2_FusionPara,MIntRec2_FLOPS,MIntRec2_InfTime

HyperGCL,NeurIPS2022,82.97,83.70,83.92,83.54,83.12,85.62,84.11,407466,66304,948527104,"70-80",68.94,55.98,58.59,56.55,62.83,68.94,65.12,637568,0,470002752,19.45

WDMIR,IJCAI2025,75.06,,72.65,,75.26,,74.96,1298470,200,823400,1.5483,57.16,54.64,50.75,51.93,57.90,57.16,56.64,2872994,2085021,,1.975

CDPR,ICMR2026,75.15,72.01,71.08,71.04,75.37,,74.91,845421,,1897054208,15,60.82,57.88,,53.86,60.23,,59.54,310462,,6118905856,32

ECFMIR,AAAI2026,74.38,,, ,75.05,74.38,74.51,151650000,62003738,123917824,9.97,58.58,54.22,54.39,53.39,,, ,151650000,62003738,123917824,17.92

HIER,CVPR2026,80.00,78.98,77.11,76.91,80.67,,79.59,,,,,64.15,60.31,59.59,60.31,64.17,,63.59,20370000,,,1.04

Diff-HyperGCL_Handcrafted,Proposed,85.06,81.92,83.71,82.46,82.28,85.06,83.45,845421,66304,3624500839,4.797,72.41,69.73,65.56,65.77,71.20,72.41,70.06,650113,0,5587759104,19.34

Diff-HyperGCL_BothGenerative,Proposed,84.61,82.29,83.20,82.31,81.96,84.61,83.03,845421,66304,5502254286,4.797,72.00,70.49,64.37,64.35,71.35,72.00,69.53,650113,0,5587759104,19.30

