Section,Modality,MIntRec_ACC,MIntRec_WP,MIntRec_WR,MIntRec_WF1,MIntRec_P,MIntRec_R,MIntRec_F1,MIntRec2_ACC,MIntRec2_WP,MIntRec2_WR,MIntRec2_WF1,MIntRec2_P,MIntRec2_R,MIntRec2_F1

DG+DG,T,81.80,76.97,81.80,78.87,77.46,79.14,77.82,70.45,69.01,70.45,67.44,67.92,63.58,62.73
DG+DG,A,74.16,64.88,74.16,68.33,60.51,65.23,61.94,9.62,1.07,10.34,1.94,0.34,3.33,0.62
DG+DG,V,14.94,3.83,14.94,6.09,1.49,5.81,2.37,9.50,1.07,10.34,1.94,0.34,3.33,0.62
DG+DG,TA,83.71,81.16,83.71,81.90,80.81,81.92,80.62,71.90,69.84,71.90,69.24,68.14,64.20,64.05
DG+DG,TV,83.26,79.42,83.26,80.99,77.00,79.86,78.07,71.66,69.47,71.66,68.92,66.12,63.81,63.51
DG+DG,AV,71.91,60.74,71.91,65.40,54.08,62.43,57.59,10.34,1.07,10.34,1.94,0.34,3.33,0.62
DG+DG,TAV,84.61,81.99,84.61,82.90,81.92,82.59,81.56,73.75,74.11,73.75,73.59,73.50,71.38,71.93

HC+DG,T,83.71,83.25,83.71,83.26,82.14,83.51,82.45,73.86,72.95,73.86,72.82,73.65,69.81,70.90
HC+DG,A,83.93,84.01,83.93,83.66,83.70,84.15,83.47,16.17,8.61,16.17,9.65,5.57,9.17,5.73
HC+DG,V,63.60,60.42,63.60,60.38,53.46,53.89,51.41,27.38,20.10,27.38,18.00,16.80,15.40,11.28
HC+DG,TA,84.27,84.11,84.27,83.80,83.36,83.91,83.01,73.99,73.08,73.99,72.94,73.54,69.91,70.92
HC+DG,TV,83.71,83.09,83.71,83.16,82.56,82.95,82.41,73.86,73.06,73.86,72.83,73.87,69.68,70.88
HC+DG,AV,82.13,81.96,82.13,81.65,81.44,82.26,81.26,20.61,13.17,20.61,13.16,8.50,11.71,8.08
HC+DG,TAV,85.51,85.47,85.51,85.26,84.90,85.25,84.75,73.70,72.83,73.70,72.64,73.52,69.86,70.84
