Class,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,Support
0,0.8303691841999044,0.03775316116819769,0.8926991348069271,0.04445665630982563,0.8596287954940116,0.032037250623758284,46
1,0.9626226566794589,0.040633208704232995,0.9952380952380953,0.01428571428571427,0.9781857368146036,0.023179115653822507,24
2,0.957256969789903,0.015077897673025645,0.9855611385793829,0.013984188944013305,0.9710735091655142,0.00933283096420366,55
3,0.7875180559375786,0.056559323764079246,0.7643125444471736,0.06275399264570637,0.7719055189735508,0.026936647371358858,42
4,0.7611052849226224,0.10807497137112487,0.8508378290918337,0.06942464363636563,0.7982865082636837,0.06593456710085056,20
5,0.9188100324555005,0.043651728930490546,0.9046856887229161,0.039016984838137175,0.9105478457009578,0.026185077675049236,37
6,0.9006361437022541,0.06070164277150717,0.892913387885027,0.022206830156656417,0.8950875428039027,0.02451626886942434,37
7,0.7913510700421,0.043375526570660856,0.8052316900871477,0.05235679814388057,0.7962186638448147,0.027666791922531804,119
8,0.7629106894770094,0.09618739817874382,0.768853671441061,0.08112270067636636,0.757640201201216,0.03859518284613113,47
9,0.8484928921641467,0.07239164831411765,0.8382835791659321,0.07017388130823027,0.8398738375452244,0.04745223111730439,19
10,0.9388665751173491,0.043889081457279135,0.9138587246087246,0.04201150608105296,0.9248503958698862,0.023823486980629506,22
11,0.808857232891316,0.03452312393066859,0.8185298008175236,0.028826543153025956,0.8128712633707122,0.019610641648363424,112
12,0.876394015155617,0.049359662090551364,0.8941066239051393,0.032529847223356875,0.8836352032994794,0.022069244517995443,41
13,0.7546741612074429,0.10073853821560765,0.7257952811871575,0.08452168304499355,0.7357400014269274,0.0726674918548794,19
14,0.8857157287157287,0.05715490837765012,0.8507819198205706,0.04786894510601729,0.8666080179431572,0.04051790540196762,33
15,0.8499324905400757,0.05971666060852843,0.8690335925646868,0.07851688112308916,0.854381546354889,0.02471487201247102,18
16,0.9639654153105258,0.024964969164962863,0.9389994965890855,0.02082104131126543,0.9508809930345601,0.010988521462838526,85
17,0.8571345683645617,0.05076699714675538,0.8701791165787108,0.06584993248382585,0.8602953717307485,0.02358088260247696,29
18,0.39996920385667184,0.11880106237417688,0.26709527791049525,0.0954562555933001,0.3082718646699164,0.07631931808341838,26
19,0.9800244702965933,0.016767430624620567,1.0,0.0,0.9898386926073929,0.008594904806667388,48
